PrimaryKey,YearVisited
UT_CCFO_INTS_PANG_2023_BaldHills_2023-3_V12023-09-01,2023
CO_GFO_LUP_2020_Alpine-288_V12023-09-01,2023
OR_VADO_RNA_2023_SRidBulCrkBuf-01_V12023-09-01,2023
OR_HiTech5km_HiTech5km-12_V12023-09-01,2023
OR_WFO_ESR_2023_0806_20_V32023-09-01,2023
AZ_SFO_INT_2023_SFO2023-T002_V12023-09-01,2023
UT_CCFO_LUP_2017_SS-111_V12023-09-01,2023
CO_GJFO_LUP_2021_GJFO2021-087_V22023-09-01,2023
CA_ELFO_DryVal_2022_DryValleyRimControl-32_V22023-09-01,2023
AZ_ASDO_LUP_2021_ASDO2021-177_V12023-09-01,2023
CO_SLVFO_GUSG-INT_2018_GUSGP-09_V22023-09-01,2023
20231673103905B2,2023
OR_HiTech_HiTech-01_V12023-09-01,2023
WY_CAFO_TARGETED_2023_CAFO2023-T-21_V12023-09-01,2023
AZ_TFO_RANGE_2023_UNGZ-08_V32023-09-01,2023
UT_WDDO_HAF_2022_WDDOHAF2022-061_V12023-09-01,2023
UT_PFO_LUP_2023_PFO2023-010_V12023-09-01,2023
CA_RDFO_Graze_2022_SecretSprings-029_V12023-09-01,2023
2023629202415B2,2023
CO_SLVFO_FUELS-INT_2023_BH1-052_V12023-09-01,2023
2023327106009B2,2023
CA_BIFO_LUP_2023_BIFO2023-010_V22023-09-01,2023
ID_SHFO_LUP_2023_BSWD-004_V22023-09-01,2023
CA_AGFO_Fuels_2023_Twin-Lakes-Plot-5_V22023-09-01,2023
ID_USFO_LUP_2023_USFO2023-036_V22023-09-01,2023
MT_SDFO_LUP_2022_SDFO2022-075_V12023-09-01,2023
2023415200220B3,2023
CO_LSFO_LUP_2021_LSFO-NR-058_V12023-09-01,2023
UT_RFO_INTS_PARKER_2023_ParkerPHMA_2023-9_V12023-09-01,2023
2023327104515B2,2023
20233223205619B2,2023
ID_OFO_LUP_2022_LowCM-2022-129_V12023-09-01,2023
20233213105408B2,2023
ID_SalmonFO_ModHAF_2023_06312-02-U001_V12023-09-01,2023
MT_MCFO_AIMLite_2023_Rockwell_X2_V22023-09-01,2023
AZ_KFO_RANGE_2023_Music_Mountain_7B_V12023-09-01,2023
20235629105811B2,2023
2023491203012B1,2023
OR_VADOPAC_2021_CL-063_V12023-09-01,2023
NM_LCDO_LUP_MIMBRES_2019_MIMB-214_V12023-09-01,2023
ID_BDO_BoiseFuels_2023_OldGrowthJuniper-16_V12023-09-01,2023
OR_WFO_ESR_2023_RedApp_Cont-07_V12023-09-01,2023
WY_KFO_LUP_2022_KFO2022-039_V22023-09-01,2023
20234945201812B1,2023
23053009565923592023-09-01,2023
UT_KFO_LUP_2016_Sagebrush-179_V12023-09-01,2023
CO_GFO_LUP_2020_0091_V22023-09-01,2023
ID_OFO_LUP_2022_BigWD-2022-068_V22023-09-01,2023
OR_VADO_ESR_2023_Wildcat_NR-02_V22023-09-01,2023
AZ_SFO_FUEL_2023_HardscrabbleWash-02_V12023-09-01,2023
ID_BFO_LUP_2022_LowCM-178_V22023-09-01,2023
OR_PVDO_2021_PDO2021-070_V12023-09-01,2023
20235637101318B2,2023
20233223103006B2,2023
2023671203214B1,2023
CO_RGFO_LUP_2022_PJ-249_V12023-09-01,2023
2023327102113B1,2023
OR_BUDO_2021_BDO2021-189_V12023-09-01,2023
CA_AGFO_Mosq_2023_Holy-30_V12023-09-01,2023
2023427202406B2,2023
MT_SDFO_LUP_2022_SDFO2022-093_V12023-09-01,2023
AZ_ASDO_LUP_2021_ASDO2021-180_V12023-09-01,2023
UT_MBFO_LUP_2023_MBFO2023-010_V12023-09-01,2023
UT_RFO_INTS_PARKER_2023_ParkerPHMA_2023-4_V12023-09-01,2023
CO_KFO_LUP_2021_KFO2021-136_V22023-09-01,2023
2023327103312B1,2023
OR_LVFO_2021_LFO2021-178_V22023-09-01,2023
CA_NCDO_LUP_2019_NORCALRV1395_V12023-09-01,2023
AZ_LHFO_Group1_2023_LHFO2023-002_V12023-09-01,2023
MT_MCFO_LUP_2023_MCFO2022-095_V12023-09-01,2023
AZ_ASDO_LUP_2021_ASDO2021-107_V12023-09-01,2023
UT_VFO_HAF_2022_GRSG_HAB-069_V12023-09-01,2023
ID_CHFO_LUP_2023_CHFO2023-016_V22023-09-01,2023
UT_KFO_LUP_2016_Shrubland-231_V12023-09-01,2023
CO_CRVFO_LHA_2023_8222-05_V12023-09-01,2023
OR_VADO_ESR_2023_LeslieGul_NR-02_V22023-09-01,2023
OR_VADO_ESR_2023_IndianCrk_AS-03_V22023-09-01,2023
OR_WFO_ESR_2023_WA_IPOW_2706_101_V32023-09-01,2023
AZ_HFO_WTRSHD2_2023_HFO2023-37_V12023-09-01,2023
20233217206416B1,2023
CO_CRVFO_LUP_2021_UFP-195_V12023-09-01,2023
CA_AGFO_Fuels_2023_Dry-Cow-Plot-2_V22023-09-01,2023
202345200104B3,2023
CO_SLVFO_FUELS-INT_2023_RC1-159_V12023-09-01,2023
ID_OFO_LUP_2022_UA-2022-204_V22023-09-01,2023
20234125393313B1,2023
20233071104606B1,2023
20234113172234B3,2023
AZ_TFO_SPRNCA_IVM_2023_BH-IVM-1_V12023-09-01,2023
20233217206413B2,2023
CO_GJFO_LUP_2021_GJFO2021-NR-024_V12023-09-01,2023
OR_MEDO_CSNM_2023_DEADWD-13_V12023-09-01,2023
